id,anchor_ts_ms,hedge_ts_ms,market_slug,market_duration,direction,first_bid,first_ask,first_bid_qty,first_ask_qty,second_ask,second_ask_qty,executable_qty,pair_cost,gross_edge,market_end_ms
193688,1789815801396,1789815816436,btc-updown-5m-1789815600,5m,DOWN->UP,0.04,0.05,250.0,287.0,0.96,245.0,245.0,1.01,-0.010000000000000009,1789815900000
193748,1789815817351,1789815832373,btc-updown-5m-1789815600,5m,DOWN->UP,0.04,0.05,245.0,502.6,0.96,229.58,229.58,1.01,-0.010000000000000009,1789815900000
193808,1789815833144,1789815848153,btc-updown-5m-1789815600,5m,DOWN->UP,0.04,0.05,229.58,459.6,0.96,179.37,179.37,1.01,-0.010000000000000009,1789815900000
193870,1789815848778,1789815863866,btc-updown-5m-1789815600,5m,DOWN->UP,0.04,0.05,179.37,594.17,0.97,114.28,114.28,1.02,-0.020000000000000018,1789815900000
193928,1789815864353,1789815879380,btc-updown-5m-1789815600,5m,DOWN->UP,0.03,0.04,114.28,89.99,0.97,185.15,89.99,1.01,-0.010000000000000009,1789815900000
194006,1789815879829,1789815903471,btc-updown-5m-1789815600,5m,DOWN->UP,0.03,0.04,190.15,558.71,0.51,623.32,558.71,0.55,0.44999999999999996,1789815900000
203682,1789818541616,1789818556632,btc-updown-5m-1789818300,5m,DOWN->UP,0.13,0.14,252.47,232.03,0.86,95.0,95.0,1.0,0.0,1789818600000
207842,1789819633534,1789819648567,btc-updown-5m-1789819500,5m,DOWN->UP,0.1,0.11,308.8,78.24,0.9,212.01,78.24,1.01,-0.010000000000000009,1789819800000
207898,1789819648670,1789819663675,btc-updown-5m-1789819500,5m,DOWN->UP,0.1,0.11,212.01,179.32,0.9,84.59,84.59,1.01,-0.010000000000000009,1789819800000
207958,1789819664151,1789819679189,btc-updown-5m-1789819500,5m,DOWN->UP,0.1,0.11,84.59,864.78,0.9,9.12,9.12,1.01,-0.010000000000000009,1789819800000
208018,1789819679922,1789819694933,btc-updown-5m-1789819500,5m,DOWN->UP,0.1,0.11,9.12,953.15,0.96,287.67,287.67,1.07,-0.07000000000000006,1789819800000
208078,1789819695789,1789819710829,btc-updown-5m-1789819500,5m,DOWN->UP,0.04,0.05,282.67,1342.45,0.98,161.0,161.0,1.03,-0.030000000000000027,1789819800000
208138,1789819711405,1789819726440,btc-updown-5m-1789819500,5m,DOWN->UP,0.02,0.03,161.0,296.66,0.98,154.22,154.22,1.01,-0.010000000000000009,1789819800000
208198,1789819727215,1789819742269,btc-updown-5m-1789819500,5m,DOWN->UP,0.02,0.03,154.22,401.0,0.98,136.81,136.81,1.01,-0.010000000000000009,1789819800000
208260,1789819742986,1789819758015,btc-updown-5m-1789819500,5m,DOWN->UP,0.02,0.03,136.81,587.66,0.98,120.63,120.63,1.01,-0.010000000000000009,1789819800000
208320,1789819758776,1789819773798,btc-updown-5m-1789819500,5m,DOWN->UP,0.02,0.03,120.63,537.8,0.98,455.93,455.93,1.01,-0.010000000000000009,1789819800000
208380,1789819774421,1789819789446,btc-updown-5m-1789819500,5m,DOWN->UP,0.02,0.03,455.93,107.8,0.98,627.94,107.8,1.01,-0.010000000000000009,1789819800000
208440,1789819790342,1789819805372,btc-updown-5m-1789819500,5m,DOWN->UP,0.02,0.03,632.94,110.0,0.62,115.67,110.0,0.65,0.35,1789819800000
210362,1789820296441,1789820311459,btc-updown-5m-1789820100,5m,DOWN->UP,0.13,0.14,266.28,50.0,0.87,95.49,50.0,1.01,-0.010000000000000009,1789820400000
210422,1789820311976,1789820327017,btc-updown-5m-1789820100,5m,DOWN->UP,0.13,0.14,95.49,285.44,0.87,137.79,137.79,1.01,-0.010000000000000009,1789820400000
210482,1789820327765,1789820342785,btc-updown-5m-1789820100,5m,DOWN->UP,0.13,0.14,149.2,208.21,0.87,124.13,124.13,1.01,-0.010000000000000009,1789820400000
210542,1789820343476,1789820358532,btc-updown-5m-1789820100,5m,DOWN->UP,0.13,0.14,145.66,166.62,0.87,150.18,150.18,1.01,-0.010000000000000009,1789820400000
210602,1789820359020,1789820374034,btc-updown-5m-1789820100,5m,DOWN->UP,0.13,0.14,156.52,166.62,0.87,152.53,152.53,1.01,-0.010000000000000009,1789820400000
210676,1789820374948,1789820402879,btc-updown-5m-1789820100,5m,DOWN->UP,0.13,0.14,152.41,184.39,0.36,307.65,184.39,0.5,0.5,1789820400000
212452,1789820857124,1789820872164,btc-updown-5m-1789820700,5m,DOWN->UP,0.06,0.07,236.72,159.42,0.94,242.69,159.42,1.01,-0.010000000000000009,1789821000000
212512,1789820872775,1789820887849,btc-updown-5m-1789820700,5m,DOWN->UP,0.06,0.07,237.69,247.0,0.94,357.77,247.0,1.01,-0.010000000000000009,1789821000000
212572,1789820888663,1789820903668,btc-updown-5m-1789820700,5m,DOWN->UP,0.06,0.07,362.77,53.63,0.93,228.34,53.63,1.0,0.0,1789821000000
