id,anchor_ts_ms,hedge_ts_ms,market_slug,market_duration,direction,first_ask,second_ask,executable_qty,pair_cost,net_edge_005
129180,1789798108572,1789798123583,btc-updown-5m-1789797900,5m,DOWN->UP,0.09,0.92,531.66,1.01,-0.01500000000000001
129240,1789798124450,1789798139499,btc-updown-5m-1789797900,5m,DOWN->UP,0.09,0.92,181.25,1.01,-0.01500000000000001
129300,1789798140151,1789798155176,btc-updown-5m-1789797900,5m,DOWN->UP,0.09,0.9,2.56,0.99,0.005000000000000009
129360,1789798155734,1789798170779,btc-updown-5m-1789797900,5m,DOWN->UP,0.11,0.9,377.27,1.01,-0.01500000000000001
129420,1789798171238,1789798186283,btc-updown-5m-1789797900,5m,DOWN->UP,0.11,0.9,225.71,1.01,-0.01500000000000001
129478,1789798186998,1789798202296,btc-updown-5m-1789797900,5m,DOWN->UP,0.11,0.33,378.53,0.44,0.555
135578,1789799847926,1789799862942,btc-updown-5m-1789799700,5m,DOWN->UP,0.05,0.97,518.7,1.02,-0.02500000000000002
135638,1789799863487,1789799878500,btc-updown-5m-1789799700,5m,DOWN->UP,0.04,0.97,180.0,1.01,-0.01500000000000001
135698,1789799878835,1789799893849,btc-updown-5m-1789799700,5m,DOWN->UP,0.04,0.97,85.0,1.01,-0.01500000000000001
135758,1789799894149,1789799909175,btc-updown-5m-1789799700,5m,DOWN->UP,0.04,0.96,144.62,1.0,-0.005
135818,1789799909760,1789799924763,btc-updown-5m-1789799700,5m,DOWN->UP,0.05,0.96,164.0,1.01,-0.01500000000000001
135878,1789799925242,1789799940250,btc-updown-5m-1789799700,5m,DOWN->UP,0.05,0.96,391.97,1.01,-0.01500000000000001
135938,1789799940843,1789799955875,btc-updown-5m-1789799700,5m,DOWN->UP,0.05,0.96,122.95,1.01,-0.01500000000000001
136000,1789799956335,1789799971541,btc-updown-5m-1789799700,5m,DOWN->UP,0.05,0.96,68.0,1.01,-0.01500000000000001
136060,1789799971983,1789799986997,btc-updown-5m-1789799700,5m,DOWN->UP,0.05,0.96,62.79,1.01,-0.01500000000000001
136120,1789799987793,1789800002807,btc-updown-5m-1789799700,5m,DOWN->UP,0.05,0.47,138.36,0.52,0.475
138266,1789800549654,1789800564710,btc-updown-5m-1789800300,5m,DOWN->UP,0.11,0.9,6.53,1.01,-0.01500000000000001
140444,1789801147188,1789801162222,btc-updown-5m-1789800900,5m,DOWN->UP,0.14,0.86,6.66,1.0,-0.005
141306,1789801374657,1789801389669,btc-updown-5m-1789801200,5m,DOWN->UP,0.14,0.9,65.0,1.04,-0.04500000000000003
141368,1789801390349,1789801405382,btc-updown-5m-1789801200,5m,DOWN->UP,0.12,0.88,39.99,1.0,-0.005
141428,1789801406032,1789801421093,btc-updown-5m-1789801200,5m,DOWN->UP,0.13,0.88,236.72,1.01,-0.01500000000000001
