anchor_ts_ms,hedge_ts_ms,settle_ts,market_slug,leg1_budget,first_ask,second_ask,qty,leg1_cost,leg2_cost,friction,total_cost,pair_cost_net,status,payout,pnl
1789784061971,1789784076992,1789784076992,btc-updown-5m-1789783800,10.0,0.06,0.95,124.0,7.4399999999999995,117.8,0.62,125.86,1.015,SETTLED,124.0,-1.8599999999999994
1789784077817,1789784092956,1789784092956,btc-updown-5m-1789783800,10.0,0.06,0.95,166.66666666666669,10.0,158.33333333333334,0.8333333333333335,169.16666666666669,1.015,SETTLED,166.66666666666669,-2.5
1789784093538,1789784108553,1789784108553,btc-updown-5m-1789783800,10.0,0.06,0.39,166.66666666666669,10.0,65.00000000000001,0.8333333333333335,75.83333333333334,0.455,SETTLED,166.66666666666669,90.83333333333334
1789789478077,1789789493131,1789789493131,btc-updown-5m-1789789200,10.0,0.02,0.98,23.0,0.46,22.54,0.115,23.115,1.005,SETTLED,23.0,-0.11499999999999844
1789789493618,1789789508629,1789789508629,btc-updown-5m-1789789200,10.0,0.03,0.6,188.3,5.649,112.98,0.9415000000000001,119.57050000000001,0.635,SETTLED,188.3,68.7295
1789789737087,1789789752112,1789789752112,btc-updown-5m-1789789500,10.0,0.04,0.97,108.58,4.3432,105.3226,0.5429,110.2087,1.015,SETTLED,108.58,-1.628699999999995
1789789752758,1789789767800,1789789767800,btc-updown-5m-1789789500,10.0,0.04,0.98,250.0,10.0,245.0,1.25,256.25,1.025,SETTLED,250.0,-6.25
1789789768542,1789789783618,1789789783618,btc-updown-5m-1789789500,10.0,0.03,0.98,295.0,8.85,289.1,1.475,299.42500000000007,1.015,SETTLED,295.0,-4.425000000000068
1789789784430,1789789799444,1789789799444,btc-updown-5m-1789789500,10.0,0.03,0.98,333.33333333333337,10.0,326.6666666666667,1.666666666666667,338.33333333333337,1.015,SETTLED,333.33333333333337,-5.0
1789790654068,1789790669092,1789790669092,btc-updown-5m-1789790400,10.0,0.06,0.95,166.66666666666669,10.0,158.33333333333334,0.8333333333333335,169.16666666666669,1.015,SETTLED,166.66666666666669,-2.5
1789790669601,1789790684640,1789790684640,btc-updown-5m-1789790400,10.0,0.06,0.95,166.66666666666669,10.0,158.33333333333334,0.8333333333333335,169.16666666666669,1.015,SETTLED,166.66666666666669,-2.5
1789790685205,1789790701761,1789790701761,btc-updown-5m-1789790400,10.0,0.06,0.44,63.0,3.78,27.72,0.315,31.815,0.505,SETTLED,63.0,31.185
1789790855772,1789790871020,1789790871020,btc-updown-5m-1789790700,10.0,0.07,0.94,23.58,1.6506,22.1652,0.11789999999999999,23.933699999999998,1.015,SETTLED,23.58,-0.3536999999999999
1789790871442,1789790886455,1789790886455,btc-updown-5m-1789790700,10.0,0.07,0.94,75.0,5.250000000000001,70.5,0.375,76.125,1.015,SETTLED,75.0,-1.125
1789790886919,1789790901956,1789790901956,btc-updown-5m-1789790700,10.0,0.07,0.95,142.85714285714283,10.0,135.7142857142857,0.7142857142857142,146.42857142857142,1.025,SETTLED,142.85714285714283,-3.5714285714285836
1789790902272,1789790917298,1789790917298,btc-updown-5m-1789790700,10.0,0.06,0.95,85.53,5.1318,81.2535,0.42765000000000003,86.81295,1.015,SETTLED,85.53,-1.2829499999999996
1789790917471,1789790932477,1789790932477,btc-updown-5m-1789790700,10.0,0.06,0.96,166.66666666666669,10.0,160.0,0.8333333333333335,170.83333333333334,1.025,SETTLED,166.66666666666669,-4.166666666666657
1789790933171,1789790948204,1789790948204,btc-updown-5m-1789790700,10.0,0.05,0.96,191.79,9.5895,184.11839999999998,0.95895,194.66684999999995,1.015,SETTLED,191.79,-2.876849999999962
1789790948918,1789790963924,1789790963924,btc-updown-5m-1789790700,10.0,0.05,0.97,200.0,10.0,194.0,1.0,205.0,1.025,SETTLED,200.0,-5.0
1789790964085,1789790979167,1789790979167,btc-updown-5m-1789790700,10.0,0.04,0.97,250.0,10.0,242.5,1.25,253.75,1.015,SETTLED,250.0,-3.75
1789790979762,1789791000686,1789791000686,btc-updown-5m-1789790700,10.0,0.04,0.38,102.2,4.088,38.836,0.511,43.435,0.425,SETTLED,102.2,58.765
1789792960938,1789792975989,1789792975989,btc-updown-5m-1789792800,10.0,0.04,0.97,250.0,10.0,242.5,1.25,253.75,1.015,SETTLED,250.0,-3.75
1789792975989,1789792991052,1789792991052,btc-updown-5m-1789792800,10.0,0.04,0.97,250.0,10.0,242.5,1.25,253.75,1.015,SETTLED,250.0,-3.75
1789792991942,1789793007000,1789793007000,btc-updown-5m-1789792800,10.0,0.04,0.98,250.0,10.0,245.0,1.25,256.25,1.025,SETTLED,250.0,-6.25
1789793007519,1789793022632,1789793022632,btc-updown-5m-1789792800,10.0,0.03,0.97,221.3,6.639,214.661,1.1065,222.40650000000002,1.005,SETTLED,221.3,-1.1065000000000111
1789793023529,1789793038532,1789793038532,btc-updown-5m-1789792800,10.0,0.04,0.97,250.0,10.0,242.5,1.25,253.75,1.015,SETTLED,250.0,-3.75
1789793039502,1789793054540,1789793054540,btc-updown-5m-1789792800,10.0,0.04,0.97,185.05,7.402000000000001,179.4985,0.9252500000000001,187.82575000000003,1.015,SETTLED,185.05,-2.7757500000000164
1789793055518,1789793070624,1789793070624,btc-updown-5m-1789792800,10.0,0.04,0.97,95.0,3.8000000000000003,92.14999999999999,0.47500000000000003,96.42499999999998,1.015,SETTLED,95.0,-1.424999999999983
1789793070711,1789793085720,1789793085720,btc-updown-5m-1789792800,10.0,0.04,0.98,250.0,10.0,245.0,1.25,256.25,1.025,SETTLED,250.0,-6.25
1789793086547,1789793101571,1789793101571,btc-updown-5m-1789792800,10.0,0.03,0.37,70.0,2.1,25.9,0.35000000000000003,28.35,0.405,SETTLED,70.0,41.65
1789793621770,1789793636782,1789793636782,btc-updown-5m-1789793400,10.0,0.06,0.96,166.66666666666669,10.0,160.0,0.8333333333333335,170.83333333333334,1.025,SETTLED,166.66666666666669,-4.166666666666657
1789793637465,1789793652769,1789793652769,btc-updown-5m-1789793400,10.0,0.05,0.96,200.0,10.0,192.0,1.0,203.0,1.015,SETTLED,200.0,-3.0
1789793653292,1789793668345,1789793668345,btc-updown-5m-1789793400,10.0,0.05,0.96,200.0,10.0,192.0,1.0,203.0,1.015,SETTLED,200.0,-3.0
1789793669045,1789793684048,1789793684048,btc-updown-5m-1789793400,10.0,0.05,0.96,191.93,9.5965,184.2528,0.95965,194.80895,1.015,SETTLED,191.93,-2.8789500000000032
1789793684490,1789793699532,1789793699532,btc-updown-5m-1789793400,10.0,0.05,0.97,200.0,10.0,194.0,1.0,205.0,1.025,SETTLED,200.0,-5.0
1789795148931,1789795163970,1789795163970,btc-updown-5m-1789794900,10.0,0.14,0.87,51.95,7.2730000000000015,45.1965,0.25975000000000004,52.72925,1.015,SETTLED,51.95,-0.7792499999999976
1789795164381,1789795179439,1789795179439,btc-updown-5m-1789794900,10.0,0.14,0.87,20.72,2.9008000000000003,18.0264,0.1036,21.0308,1.015,SETTLED,20.72,-0.3108000000000004
1789795180243,1789795195267,1789795195267,btc-updown-5m-1789794900,10.0,0.14,0.87,20.72,2.9008000000000003,18.0264,0.1036,21.0308,1.015,SETTLED,20.72,-0.3108000000000004
1789795196135,1789795211186,1789795211186,btc-updown-5m-1789794900,10.0,0.14,0.31,71.42857142857142,10.0,22.14285714285714,0.3571428571428571,32.49999999999999,0.455,SETTLED,71.42857142857142,38.92857142857142
1789795680632,1789795695676,1789795695676,btc-updown-5m-1789795500,10.0,0.14,0.87,68.85,9.639,59.899499999999996,0.34425,69.88275,1.015,SETTLED,68.85,-1.0327500000000072
1789795696407,1789795711443,1789795711443,btc-updown-5m-1789795500,10.0,0.14,0.87,15.0,2.1,13.05,0.075,15.225,1.015,SETTLED,15.0,-0.22499999999999964
1789795712312,1789795727312,1789795727312,btc-updown-5m-1789795500,10.0,0.14,0.91,71.42857142857142,10.0,64.99999999999999,0.3571428571428571,75.35714285714285,1.055,SETTLED,71.42857142857142,-3.9285714285714306
1789795727818,1789795742850,1789795742850,btc-updown-5m-1789795500,10.0,0.11,0.91,90.9090909090909,10.0,82.72727272727273,0.45454545454545453,93.18181818181819,1.025,SETTLED,90.9090909090909,-2.2727272727272805
1789795743660,1789795758687,1789795758687,btc-updown-5m-1789795500,10.0,0.1,0.91,100.0,10.0,91.0,0.5,101.5,1.015,SETTLED,100.0,-1.5
1789797233002,1789797248010,1789797248010,btc-updown-5m-1789797000,10.0,0.04,0.97,240.18,9.6072,232.9746,1.2009,243.7827,1.015,SETTLED,240.18,-3.6026999999999987
